Data,Hora,Data Valor,Produto,ISIN,Descrição,T.,Mudança,,Saldo,,ID da Ordem
04-09-2023,11:50,04-09-2023,VANGUARD FTSE ALL-WORLD UCITS ETF,IE00BK5BQT80,"Venda 81 Vanguard FTSE All-World UCITS ETF USD Acc@103,5 EUR (IE00BK5BQT80)",,EUR,8383.50,EUR,-8819.51,30f23a9e-1dfe-4f44-96d1-5f3ac41b83b2
04-09-2023,11:50,04-09-2023,VANGUARD FTSE ALL-WORLD UCITS ETF,IE00BK5BQT80,"Venda 46 Vanguard FTSE All-World UCITS ETF USD Acc@103,52 EUR (IE00BK5BQT80)",,EUR,4761.92,EUR,-17203.01,30f23a9e-1dfe-4f44-96d1-5f3ac41b83b2
02-09-2023,10:54,31-08-2023,,,Juros,,EUR,-111.12,EUR,-21964.93,
30-08-2023,10:26,31-03-2023,ADR ON ALIBABA GROUP HOLDING,US01609W1027,ADR/GDR Pass-Through Fee,,EUR,-1.08,EUR,-21853.81,
21-08-2023,07:53,18-08-2023,FLOW TRADERS LTD,BMG3602E1084,Dividendo,,EUR,40.50,EUR,-21852.73,
21-08-2023,07:53,18-08-2023,FLOW TRADERS LTD,BMG3602E1084,Imposto sobre dividendo,,EUR,-6.08,EUR,-21893.23,
02-08-2023,09:37,31-07-2023,,,Juros,,EUR,-103.53,EUR,-21887.15,
03-07-2023,17:13,30-06-2023,,,Juros,,EUR,-94.48,EUR,-21783.62,
01-07-2023,17:01,30-06-2023,,,Flatex Interest Income,,EUR,0.00,EUR,-21689.14,
07-06-2023,07:31,06-06-2023,,,Crédito de divisa,,EUR,22.86,EUR,-21689.14,
07-06-2023,07:31,06-06-2023,,,Levantamento de divisa,8.3977,HKD,-192.00,HKD,0.00,
06-06-2023,07:17,05-06-2023,TENCENT HOLDINGS LTD,KYG875721634,Dividendo,,HKD,192.00,HKD,192.00,
05-06-2023,20:31,31-05-2023,,,Juros,,EUR,-91.26,EUR,-21712.00,
05-05-2023,07:29,04-05-2023,FLOW TRADERS LTD,BMG3602E1084,Dividendo,,EUR,108.00,EUR,-21620.74,
05-05-2023,07:29,04-05-2023,FLOW TRADERS LTD,BMG3602E1084,Imposto sobre dividendo,,EUR,-16.20,EUR,-21728.74,
03-05-2023,12:16,30-04-2023,,,Juros,,EUR,-82.43,EUR,-21712.54,
14-04-2023,14:21,14-04-2023,MEITUAN,KYG596691041,Cost of Stock,,EUR,0.00,EUR,-21630.11,
04-04-2023,19:11,31-03-2023,,,Juros,,EUR,-97.18,EUR,-21630.11,
01-04-2023,20:41,31-03-2023,,,Flatex Interest Income,,EUR,0.00,EUR,-21532.93,
