Data,Hora,Produto,ISIN,Bolsa de,Bolsa,Quantidade,Preços,,Valor local,,Valor,,Taxa de Câmbio,Custos de transação,,Total,,ID da Ordem
28-03-2022,09:01,JD.COM INC,KYG8208B1014,DEG,,-2,0.0000,EUR,0.00,EUR,0.00,EUR,,,EUR,0.00,EUR,
28-03-2022,09:01,JD.COM. INC. A,KYG8208B1014,FRA,,2,0.0000,EUR,0.00,EUR,0.00,EUR,,,EUR,0.00,EUR,
23-03-2022,17:02,"TENCENT HLDGS   HD-,00002",KYG875721634,FRA,FRAB,14,44.5000,EUR,-623.00,EUR,-623.00,EUR,,-4.40,EUR,-627.40,EUR,3ff865f5-6899-4248-9206-6a8f9bcee365
18-03-2022,16:22,VANGUARD FTSE ALL-WORLD UCITS ETF - (USD) ACCUMULATING,IE00BK5BQT80,XET,XETA,7,99.3800,EUR,-695.66,EUR,-695.66,EUR,,-0.50,EUR,-696.16,EUR,fd35c0fe-c016-45c1-a91b-b2f31415e0d1
11-03-2022,10:58,COL P50.00 16SEP22,BEEN02643227,LFF,XBRD,-3,15.0000,EUR,4500.00,EUR,4500.00,EUR,,-2.25,EUR,4497.75,EUR,47256df1-c85a-4cee-8eda-9fc686f7615f
11-03-2022,10:50,COL P48.00 18MAR22,BEEN01397148,LFF,XBRD,3,13.3500,EUR,-4005.00,EUR,-4005.00,EUR,,-2.25,EUR,-4007.25,EUR,d65b3558-6574-4510-a385-aa4a7a2b22c7
10-03-2022,13:38,FLW P31.00 18MAR22,NLEN03404782,LFF,XEUE,1,0.5500,EUR,-55.00,EUR,-55.00,EUR,,-0.75,EUR,-55.75,EUR,f1597393-d847-47d4-a05c-9e6c680ee30d
07-03-2022,10:43,FLW P31.00 18MAR22,NLEN03404782,LFF,XEUE,2,0.7500,EUR,-150.00,EUR,-150.00,EUR,,-1.50,EUR,-151.50,EUR,690b5508-d63b-47cd-a5d9-0fc7f5769fbe
03-03-2022,14:25,VANGUARD FTSE ALL-WORLD UCITS ETF - (USD) ACCUMULATING,IE00BK5BQT80,XET,XETA,5,98.6000,EUR,-493.00,EUR,-493.00,EUR,,,EUR,-493.00,EUR,19ee6bb5-f01f-4287-83d8-bb1ab9200bbd
24-02-2022,10:26,VANGUARD FTSE ALL-WORLD UCITS ETF - (USD) ACCUMULATING,IE00BK5BQT80,XET,XETA,6,93.7900,EUR,-562.74,EUR,-562.74,EUR,,-0.50,EUR,-563.24,EUR,c303feee-ed29-462e-8d0e-ce2355c68356
10-02-2022,10:14,FLW P31.00 18MAR22,NLEN03404782,LFF,XEUE,-3,1.7000,EUR,510.00,EUR,510.00,EUR,,-2.25,EUR,507.75,EUR,192f4519-b528-4de3-865e-df5b0d570a8d
03-02-2022,14:20,COL P29.00 18MAR22,BEEN04700199,LFF,XBRD,-3,0.1300,EUR,39.00,EUR,39.00,EUR,,-2.25,EUR,36.75,EUR,2d58bc3a-2e69-4506-9dd3-879a96274574
03-02-2022,12:57,FLW P32.00 18FEB22,NLEN03123481,LFF,XEUE,1,0.2200,EUR,-22.00,EUR,-22.00,EUR,,-0.75,EUR,-22.75,EUR,4c5cfa1a-898d-4274-be38-7b7b7882e43f
03-02-2022,12:56,ALIBABA GR.HLDG SP.ADR 8,US01609W1027,FRA,FRAB,10,107.2000,EUR,-1072.00,EUR,-1072.00,EUR,,-4.40,EUR,-1076.40,EUR,edb9093c-e25f-45de-bb93-ae881369249c
01-02-2022,14:28,VANGUARD FTSE ALL-WORLD UCITS ETF - (USD) ACCUMULATING,IE00BK5BQT80,XET,XETA,5,100.6000,EUR,-503.00,EUR,-503.00,EUR,,,EUR,-503.00,EUR,62190590-b8ef-4467-962d-fa0a385729f4
31-01-2022,15:42,PRX P64.00 18FEB22,NLEN03127482,LFF,XEUE,1,0.5500,EUR,-55.00,EUR,-55.00,EUR,,-0.75,EUR,-55.75,EUR,c8200331-fc99-4614-b625-ec8c7b5dc888
28-01-2022,10:12,PRX P58.00 18FEB22,NLEN03225849,LFF,XEUE,-1,0.4000,EUR,40.00,EUR,40.00,EUR,,-0.75,EUR,39.25,EUR,787fed9d-140d-4dbe-b52e-15dd3a53c33e
27-01-2022,13:51,COL P29.00 18MAR22,BEEN04700199,LFF,XBRD,3,0.2000,EUR,-60.00,EUR,-60.00,EUR,,-2.25,EUR,-62.25,EUR,36cd3787-1fee-4758-badb-fd42a6691841
27-01-2022,13:49,PRX P58.00 18FEB22,NLEN03225849,LFF,XEUE,1,0.5400,EUR,-54.00,EUR,-54.00,EUR,,-0.75,EUR,-54.75,EUR,57390798-897f-4368-8e5c-43e69bcdcc5e
27-01-2022,13:46,PRX P64.00 18FEB22,NLEN03127482,LFF,XEUE,-1,1.2400,EUR,124.00,EUR,124.00,EUR,,-0.75,EUR,123.25,EUR,c959f66d-0afa-4d08-b8c6-e7e3559ab9bb
21-01-2022,22:00,PRX P67.00 21JAN22,NLEN03374258,LFF,,1,0.0000,EUR,0.00,EUR,0.00,EUR,,,EUR,0.00,EUR,
20-01-2022,00:00,JD.COM INC,KYG8208B1014,DEG,,2,0.0000,EUR,0.00,EUR,0.00,EUR,,,EUR,0.00,EUR,
18-01-2022,14:08,PRX P67.00 21JAN22,NLEN03374258,LFF,XEUE,-1,0.1000,EUR,10.00,EUR,10.00,EUR,,-0.75,EUR,9.25,EUR,e6d2bc77-4d0a-4794-a5bf-6648e9ebaee4
17-01-2022,16:33,FLW P32.00 18FEB22,NLEN03123481,LFF,XEUE,-1,0.8000,EUR,80.00,EUR,80.00,EUR,,-0.75,EUR,79.25,EUR,82873327-f9da-4b3f-b7fe-3744363e67f0
11-01-2022,11:36,PRX P66.00 21JAN22,NLEN03361156,LFF,XEUE,1,0.2400,EUR,-24.00,EUR,-24.00,EUR,,-0.75,EUR,-24.75,EUR,71e72e2a-2b4a-45e5-b9b0-cb7b07675e7f
06-01-2022,16:08,PRX P66.00 21JAN22,NLEN03361156,LFF,XEUE,-1,0.9000,EUR,90.00,EUR,90.00,EUR,,-0.75,EUR,89.25,EUR,971a1938-60bf-48e8-9bf0-46aefb1fffae
05-01-2022,15:56,VANGUARD FTSE ALL-WORLD UCITS ETF - (USD) ACCUMULATING,IE00BK5BQT80,XET,XETA,4,104.9400,EUR,-419.76,EUR,-419.76,EUR,,,EUR,-419.76,EUR,86bb2e4e-89cc-4ba4-8030-13638a0ceea6
22-12-2021,14:33,VANGUARD FTSE ALL-WORLD UCITS ETF - (USD) ACCUMULATING,IE00BK5BQT80,XET,XETA,60,102.0800,EUR,-6124.80,EUR,-6124.80,EUR,,,EUR,-6124.80,EUR,7d360153-aedc-4bff-b609-a7d7ee626021
22-12-2021,14:32,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,EAM,XAMS,-73,77.0100,EUR,5621.73,EUR,5621.73,EUR,,-0.50,EUR,5621.23,EUR,ee641375-5566-4d80-964b-700eedfa50d6
17-12-2021,16:35,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,EAM,XAMS,5,76.9000,EUR,-384.50,EUR,-384.50,EUR,,,EUR,-384.50,EUR,ce9d28b8-98b8-472f-9621-33f280952d92
03-12-2021,15:13,COL P48.00 18MAR22,BEEN01397148,LFF,XBRD,-3,7.5500,EUR,2265.00,EUR,2265.00,EUR,,-2.55,EUR,2262.45,EUR,2f43ab6d-7baf-498e-af3a-2812715c188b
03-12-2021,15:12,COL P48.00 17DEC21,BEEN00724821,LFF,XBRD,3,7.5500,EUR,-2265.00,EUR,-2265.00,EUR,,-2.55,EUR,-2267.55,EUR,1e945c1a-1d48-4679-b11d-a9633b5d72a0
